# Generated by QuTiP: 15001x5 complex matrix in decimal format [',' separated values].
-0.4947333333+0.0000000000j,0.8311685919+0.0000000000j,0.0006885342+0.0000000000j,0.0008243077+0.0000000000j,0.0008244225+0.0000000000j
-0.4946666667+0.0000000000j,0.8311492885+0.0000000000j,0.0006972376+0.0000000000j,0.0008262140+0.0000000000j,0.0008263292+0.0000000000j
-0.4946000000+0.0000000000j,0.8311299859+0.0000000000j,0.0007059408+0.0000000000j,0.0008281244+0.0000000000j,0.0008282400+0.0000000000j
-0.4945333333+0.0000000000j,0.8311106840+0.0000000000j,0.0007146437+0.0000000000j,0.0008300389+0.0000000000j,0.0008301549+0.0000000000j
-0.4944666667+0.0000000000j,0.8310913829+0.0000000000j,0.0007233462+0.0000000000j,0.0008319575+0.0000000000j,0.0008320739+0.0000000000j
-0.4944000000+0.0000000000j,0.8310720825+0.0000000000j,0.0007320484+0.0000000000j,0.0008338802+0.0000000000j,0.0008339970+0.0000000000j
-0.4943333333+0.0000000000j,0.8310527828+0.0000000000j,0.0007407504+0.0000000000j,0.0008358070+0.0000000000j,0.0008359242+0.0000000000j
-0.4942666667+0.0000000000j,0.8310334838+0.0000000000j,0.0007494520+0.0000000000j,0.0008377379+0.0000000000j,0.0008378556+0.0000000000j
-0.4942000000+0.0000000000j,0.8310141856+0.0000000000j,0.0007581534+0.0000000000j,0.0008396729+0.0000000000j,0.0008397910+0.0000000000j
-0.4941333333+0.0000000000j,0.8309948881+0.0000000000j,0.0007668544+0.0000000000j,0.0008416121+0.0000000000j,0.0008417306+0.0000000000j
-0.4940666667+0.0000000000j,0.8309755913+0.0000000000j,0.0007755551+0.0000000000j,0.0008435555+0.0000000000j,0.0008436744+0.0000000000j
-0.4940000000+0.0000000000j,0.8309562953+0.0000000000j,0.0007842555+0.0000000000j,0.0008455030+0.0000000000j,0.0008456223+0.0000000000j
-0.4939333333+0.0000000000j,0.8309370000+0.0000000000j,0.0007929557+0.0000000000j,0.0008474546+0.0000000000j,0.0008475744+0.0000000000j
-0.4938666667+0.0000000000j,0.8309177054+0.0000000000j,0.0008016555+0.0000000000j,0.0008494104+0.0000000000j,0.0008495306+0.0000000000j
-0.4938000000+0.0000000000j,0.8308984116+0.0000000000j,0.0008103550+0.0000000000j,0.0008513704+0.0000000000j,0.0008514911+0.0000000000j
-0.4937333333+0.0000000000j,0.8308791185+0.0000000000j,0.0008190542+0.0000000000j,0.0008533346+0.0000000000j,0.0008534557+0.0000000000j
-0.4936666667+0.0000000000j,0.8308598261+0.0000000000j,0.0008277531+0.0000000000j,0.0008553030+0.0000000000j,0.0008554245+0.0000000000j
-0.4936000000+0.0000000000j,0.8308405344+0.0000000000j,0.0008364517+0.0000000000j,0.0008572755+0.0000000000j,0.0008573975+0.0000000000j
-0.4935333333+0.0000000000j,0.8308212435+0.0000000000j,0.0008451500+0.0000000000j,0.0008592523+0.0000000000j,0.0008593747+0.0000000000j
-0.4934666667+0.0000000000j,0.8308019532+0.0000000000j,0.0008538480+0.0000000000j,0.0008612333+0.0000000000j,0.0008613561+0.0000000000j
-0.4934000000+0.0000000000j,0.8307826637+0.0000000000j,0.0008625457+0.0000000000j,0.0008632186+0.0000000000j,0.0008633418+0.0000000000j
-0.4933333333+0.0000000000j,0.8307633750+0.0000000000j,0.0008712431+0.0000000000j,0.0008652080+0.0000000000j,0.0008653317+0.0000000000j
-0.4932666667+0.0000000000j,0.8307440869+0.0000000000j,0.0008799401+0.0000000000j,0.0008672017+0.0000000000j,0.0008673258+0.0000000000j
-0.4932000000+0.0000000000j,0.8307247995+0.0000000000j,0.0008886369+0.0000000000j,0.0008691997+0.0000000000j,0.0008693242+0.0000000000j
-0.4931333333+0.0000000000j,0.8307055129+0.0000000000j,0.0008973334+0.0000000000j,0.0008712019+0.0000000000j,0.0008713269+0.0000000000j
-0.4930666667+0.0000000000j,0.8306862270+0.0000000000j,0.0009060296+0.0000000000j,0.0008732084+0.0000000000j,0.0008733338+0.0000000000j
-0.4930000000+0.0000000000j,0.8306669418+0.0000000000j,0.0009147254+0.0000000000j,0.0008752192+0.0000000000j,0.0008753450+0.0000000000j
-0.4929333333+0.0000000000j,0.8306476573+0.0000000000j,0.0009234210+0.0000000000j,0.0008772342+0.0000000000j,0.0008773605+0.0000000000j
-0.4928666667+0.0000000000j,0.8306283735+0.0000000000j,0.0009321163+0.0000000000j,0.0008792535+0.0000000000j,0.0008793803+0.0000000000j
-0.4928000000+0.0000000000j,0.8306090905+0.0000000000j,0.0009408112+0.0000000000j,0.0008812772+0.0000000000j,0.0008814044+0.0000000000j
-0.4927333333+0.0000000000j,0.8305898082+0.0000000000j,0.0009495059+0.0000000000j,0.0008833051+0.0000000000j,0.0008834328+0.0000000000j
-0.4926666667+0.0000000000j,0.8305705267+0.0000000000j,0.0009582002+0.0000000000j,0.0008853374+0.0000000000j,0.0008854655+0.0000000000j
-0.4926000000+0.0000000000j,0.8305512458+0.0000000000j,0.0009668943+0.0000000000j,0.0008873740+0.0000000000j,0.0008875025+0.0000000000j
-0.4925333333+0.0000000000j,0.8305319657+0.0000000000j,0.0009755880+0.0000000000j,0.0008894149+0.0000000000j,0.0008895439+0.0000000000j
-0.4924666667+0.0000000000j,0.8305126863+0.0000000000j,0.0009842815+0.0000000000j,0.0008914601+0.0000000000j,0.0008915896+0.0000000000j
-0.4924000000+0.0000000000j,0.8304934077+0.0000000000j,0.0009929746+0.0000000000j,0.0008935097+0.0000000000j,0.0008936397+0.0000000000j
-0.4923333333+0.0000000000j,0.8304741298+0.0000000000j,0.0010016675+0.0000000000j,0.0008955637+0.0000000000j,0.0008956941+0.0000000000j
-0.4922666667+0.0000000000j,0.8304548526+0.0000000000j,0.0010103600+0.0000000000j,0.0008976221+0.0000000000j,0.0008977529+0.0000000000j
-0.4922000000+0.0000000000j,0.8304355761+0.0000000000j,0.0010190522+0.0000000000j,0.0008996848+0.0000000000j,0.0008998161+0.0000000000j
-0.4921333333+0.0000000000j,0.8304163004+0.0000000000j,0.0010277441+0.0000000000j,0.0009017519+0.0000000000j,0.0009018837+0.0000000000j
-0.4920666667+0.0000000000j,0.8303970255+0.0000000000j,0.0010364358+0.0000000000j,0.0009038234+0.0000000000j,0.0009039556+0.0000000000j
-0.4920000000+0.0000000000j,0.8303777512+0.0000000000j,0.0010451271+0.0000000000j,0.0009058992+0.0000000000j,0.0009060320+0.0000000000j
-0.4919333333+0.0000000000j,0.8303584777+0.0000000000j,0.0010538181+0.0000000000j,0.0009079795+0.0000000000j,0.0009081128+0.0000000000j
-0.4918666667+0.0000000000j,0.8303392048+0.0000000000j,0.0010625088+0.0000000000j,0.0009100643+0.0000000000j,0.0009101979+0.0000000000j
-0.4918000000+0.0000000000j,0.8303199327+0.0000000000j,0.0010711992+0.0000000000j,0.0009121534+0.0000000000j,0.0009122876+0.0000000000j
-0.4917333333+0.0000000000j,0.8303006613+0.0000000000j,0.0010798893+0.0000000000j,0.0009142470+0.0000000000j,0.0009143816+0.0000000000j
-0.4916666667+0.0000000000j,0.8302813907+0.0000000000j,0.0010885791+0.0000000000j,0.0009163450+0.0000000000j,0.0009164801+0.0000000000j
-0.4916000000+0.0000000000j,0.8302621207+0.0000000000j,0.0010972686+0.0000000000j,0.0009184475+0.0000000000j,0.0009185831+0.0000000000j
-0.4915333333+0.0000000000j,0.8302428514+0.0000000000j,0.0011059578+0.0000000000j,0.0009205544+0.0000000000j,0.0009206905+0.0000000000j
-0.4914666667+0.0000000000j,0.8302235829+0.0000000000j,0.0011146467+0.0000000000j,0.0009226658+0.0000000000j,0.0009228023+0.0000000000j
-0.4914000000+0.0000000000j,0.8302043151+0.0000000000j,0.0011233353+0.0000000000j,0.0009247817+0.0000000000j,0.0009249187+0.0000000000j
-0.4913333333+0.0000000000j,0.8301850480+0.0000000000j,0.0011320236+0.0000000000j,0.0009269020+0.0000000000j,0.0009270396+0.0000000000j
-0.4912666667+0.0000000000j,0.8301657817+0.0000000000j,0.0011407116+0.0000000000j,0.0009290269+0.0000000000j,0.0009291649+0.0000000000j
-0.4912000000+0.0000000000j,0.8301465160+0.0000000000j,0.0011493993+0.0000000000j,0.0009311563+0.0000000000j,0.0009312948+0.0000000000j
-0.4911333333+0.0000000000j,0.8301272511+0.0000000000j,0.0011580866+0.0000000000j,0.0009332901+0.0000000000j,0.0009334291+0.0000000000j
-0.4910666667+0.0000000000j,0.8301079869+0.0000000000j,0.0011667737+0.0000000000j,0.0009354285+0.0000000000j,0.0009355680+0.0000000000j
-0.4910000000+0.0000000000j,0.8300887235+0.0000000000j,0.0011754605+0.0000000000j,0.0009375714+0.0000000000j,0.0009377114+0.0000000000j
-0.4909333333+0.0000000000j,0.8300694607+0.0000000000j,0.0011841469+0.0000000000j,0.0009397189+0.0000000000j,0.0009398594+0.0000000000j
-0.4908666667+0.0000000000j,0.8300501987+0.0000000000j,0.0011928331+0.0000000000j,0.0009418709+0.0000000000j,0.0009420119+0.0000000000j
-0.4908000000+0.0000000000j,0.8300309374+0.0000000000j,0.0012015190+0.0000000000j,0.0009440275+0.0000000000j,0.0009441689+0.0000000000j
-0.4907333333+0.0000000000j,0.8300116769+0.0000000000j,0.0012102045+0.0000000000j,0.0009461886+0.0000000000j,0.0009463306+0.0000000000j
-0.4906666667+0.0000000000j,0.8299924171+0.0000000000j,0.0012188898+0.0000000000j,0.0009483543+0.0000000000j,0.0009484968+0.0000000000j
-0.4906000000+0.0000000000j,0.8299731580+0.0000000000j,0.0012275747+0.0000000000j,0.0009505246+0.0000000000j,0.0009506676+0.0000000000j
-0.4905333333+0.0000000000j,0.8299538997+0.0000000000j,0.0012362594+0.0000000000j,0.0009526995+0.0000000000j,0.0009528429+0.0000000000j
-0.4904666667+0.0000000000j,0.8299346421+0.0000000000j,0.0012449437+0.0000000000j,0.0009548789+0.0000000000j,0.0009550229+0.0000000000j
-0.4904000000+0.0000000000j,0.8299153852+0.0000000000j,0.0012536278+0.0000000000j,0.0009570630+0.0000000000j,0.0009572075+0.0000000000j
-0.4903333333+0.0000000000j,0.8298961290+0.0000000000j,0.0012623115+0.0000000000j,0.0009592517+0.0000000000j,0.0009593967+0.0000000000j
-0.4902666667+0.0000000000j,0.8298768736+0.0000000000j,0.0012709949+0.0000000000j,0.0009614450+0.0000000000j,0.0009615905+0.0000000000j
-0.4902000000+0.0000000000j,0.8298576188+0.0000000000j,0.0012796781+0.0000000000j,0.0009636430+0.0000000000j,0.0009637890+0.0000000000j
-0.4901333333+0.0000000000j,0.8298383648+0.0000000000j,0.0012883609+0.0000000000j,0.0009658456+0.0000000000j,0.0009659921+0.0000000000j
-0.4900666667+0.0000000000j,0.8298191116+0.0000000000j,0.0012970434+0.0000000000j,0.0009680528+0.0000000000j,0.0009681999+0.0000000000j
-0.4900000000+0.0000000000j,0.8297998590+0.0000000000j,0.0013057257+0.0000000000j,0.0009702647+0.0000000000j,0.0009704123+0.0000000000j
-0.4899333333+0.0000000000j,0.8297806071+0.0000000000j,0.0013144076+0.0000000000j,0.0009724813+0.0000000000j,0.0009726294+0.0000000000j
-0.4898666667+0.0000000000j,0.8297613559+0.0000000000j,0.0013230892+0.0000000000j,0.0009747026+0.0000000000j,0.0009748512+0.0000000000j
-0.4898000000+0.0000000000j,0.8297421055+0.0000000000j,0.0013317705+0.0000000000j,0.0009769285+0.0000000000j,0.0009770777+0.0000000000j
-0.4897333333+0.0000000000j,0.8297228558+0.0000000000j,0.0013404515+0.0000000000j,0.0009791592+0.0000000000j,0.0009793088+0.0000000000j
-0.4896666667+0.0000000000j,0.8297036068+0.0000000000j,0.0013491322+0.0000000000j,0.0009813945+0.0000000000j,0.0009815447+0.0000000000j
-0.4896000000+0.0000000000j,0.8296843585+0.0000000000j,0.0013578127+0.0000000000j,0.0009836346+0.0000000000j,0.0009837853+0.0000000000j
-0.4895333333+0.0000000000j,0.8296651110+0.0000000000j,0.0013664928+0.0000000000j,0.0009858794+0.0000000000j,0.0009860306+0.0000000000j
-0.4894666667+0.0000000000j,0.8296458641+0.0000000000j,0.0013751726+0.0000000000j,0.0009881289+0.0000000000j,0.0009882807+0.0000000000j
-0.4894000000+0.0000000000j,0.8296266180+0.0000000000j,0.0013838521+0.0000000000j,0.0009903831+0.0000000000j,0.0009905355+0.0000000000j
-0.4893333333+0.0000000000j,0.8296073727+0.0000000000j,0.0013925313+0.0000000000j,0.0009926422+0.0000000000j,0.0009927950+0.0000000000j
-0.4892666667+0.0000000000j,0.8295881280+0.0000000000j,0.0014012102+0.0000000000j,0.0009949059+0.0000000000j,0.0009950593+0.0000000000j
-0.4892000000+0.0000000000j,0.8295688841+0.0000000000j,0.0014098887+0.0000000000j,0.0009971745+0.0000000000j,0.0009973284+0.0000000000j
-0.4891333333+0.0000000000j,0.8295496409+0.0000000000j,0.0014185670+0.0000000000j,0.0009994478+0.0000000000j,0.0009996023+0.0000000000j
-0.4890666667+0.0000000000j,0.8295303985+0.0000000000j,0.0014272450+0.0000000000j,0.0010017259+0.0000000000j,0.0010018809+0.0000000000j
-0.4890000000+0.0000000000j,0.8295111568+0.0000000000j,0.0014359227+0.0000000000j,0.0010040088+0.0000000000j,0.0010041644+0.0000000000j
-0.4889333333+0.0000000000j,0.8294919158+0.0000000000j,0.0014446001+0.0000000000j,0.0010062965+0.0000000000j,0.0010064526+0.0000000000j
-0.4888666667+0.0000000000j,0.8294726755+0.0000000000j,0.0014532771+0.0000000000j,0.0010085890+0.0000000000j,0.0010087457+0.0000000000j
-0.4888000000+0.0000000000j,0.8294534359+0.0000000000j,0.0014619539+0.0000000000j,0.0010108864+0.0000000000j,0.0010110436+0.0000000000j
-0.4887333333+0.0000000000j,0.8294341972+0.0000000000j,0.0014706304+0.0000000000j,0.0010131885+0.0000000000j,0.0010133463+0.0000000000j
-0.4886666667+0.0000000000j,0.8294149591+0.0000000000j,0.0014793066+0.0000000000j,0.0010154956+0.0000000000j,0.0010156539+0.0000000000j
