# Generated by QuTiP: 15001x5 complex matrix in decimal format [',' separated values].
-1.9794666667+0.0000000000j,0.9999730406+0.0000000000j,0.0000267671+0.0000000000j,0.0008205073+0.0000000000j,0.0008206213+0.0000000000j
-1.9792000000+0.0000000000j,0.9999726903+0.0000000000j,0.0000271152+0.0000000000j,0.0008224055+0.0000000000j,0.0008225198+0.0000000000j
-1.9789333333+0.0000000000j,0.9999723403+0.0000000000j,0.0000274635+0.0000000000j,0.0008243077+0.0000000000j,0.0008244225+0.0000000000j
-1.9786666667+0.0000000000j,0.9999719904+0.0000000000j,0.0000278118+0.0000000000j,0.0008262140+0.0000000000j,0.0008263292+0.0000000000j
-1.9784000000+0.0000000000j,0.9999716404+0.0000000000j,0.0000281603+0.0000000000j,0.0008281244+0.0000000000j,0.0008282400+0.0000000000j
-1.9781333333+0.0000000000j,0.9999712903+0.0000000000j,0.0000285088+0.0000000000j,0.0008300389+0.0000000000j,0.0008301549+0.0000000000j
-1.9778666667+0.0000000000j,0.9999709400+0.0000000000j,0.0000288572+0.0000000000j,0.0008319575+0.0000000000j,0.0008320739+0.0000000000j
-1.9776000000+0.0000000000j,0.9999705897+0.0000000000j,0.0000292056+0.0000000000j,0.0008338802+0.0000000000j,0.0008339970+0.0000000000j
-1.9773333333+0.0000000000j,0.9999702396+0.0000000000j,0.0000295538+0.0000000000j,0.0008358070+0.0000000000j,0.0008359242+0.0000000000j
-1.9770666667+0.0000000000j,0.9999698897+0.0000000000j,0.0000299018+0.0000000000j,0.0008377379+0.0000000000j,0.0008378556+0.0000000000j
-1.9768000000+0.0000000000j,0.9999695398+0.0000000000j,0.0000302497+0.0000000000j,0.0008396729+0.0000000000j,0.0008397910+0.0000000000j
-1.9765333333+0.0000000000j,0.9999691897+0.0000000000j,0.0000305973+0.0000000000j,0.0008416121+0.0000000000j,0.0008417306+0.0000000000j
-1.9762666667+0.0000000000j,0.9999688394+0.0000000000j,0.0000309447+0.0000000000j,0.0008435555+0.0000000000j,0.0008436744+0.0000000000j
-1.9760000000+0.0000000000j,0.9999684891+0.0000000000j,0.0000312919+0.0000000000j,0.0008455030+0.0000000000j,0.0008456223+0.0000000000j
-1.9757333333+0.0000000000j,0.9999681389+0.0000000000j,0.0000316389+0.0000000000j,0.0008474546+0.0000000000j,0.0008475744+0.0000000000j
-1.9754666667+0.0000000000j,0.9999677890+0.0000000000j,0.0000319858+0.0000000000j,0.0008494104+0.0000000000j,0.0008495306+0.0000000000j
-1.9752000000+0.0000000000j,0.9999674391+0.0000000000j,0.0000323326+0.0000000000j,0.0008513704+0.0000000000j,0.0008514911+0.0000000000j
-1.9749333333+0.0000000000j,0.9999670890+0.0000000000j,0.0000326794+0.0000000000j,0.0008533346+0.0000000000j,0.0008534557+0.0000000000j
-1.9746666667+0.0000000000j,0.9999667388+0.0000000000j,0.0000330261+0.0000000000j,0.0008553030+0.0000000000j,0.0008554245+0.0000000000j
-1.9744000000+0.0000000000j,0.9999663885+0.0000000000j,0.0000333729+0.0000000000j,0.0008572755+0.0000000000j,0.0008573975+0.0000000000j
-1.9741333333+0.0000000000j,0.9999660383+0.0000000000j,0.0000337199+0.0000000000j,0.0008592523+0.0000000000j,0.0008593747+0.0000000000j
-1.9738666667+0.0000000000j,0.9999656883+0.0000000000j,0.0000340670+0.0000000000j,0.0008612333+0.0000000000j,0.0008613561+0.0000000000j
-1.9736000000+0.0000000000j,0.9999653384+0.0000000000j,0.0000344142+0.0000000000j,0.0008632186+0.0000000000j,0.0008633418+0.0000000000j
-1.9733333333+0.0000000000j,0.9999649884+0.0000000000j,0.0000347617+0.0000000000j,0.0008652080+0.0000000000j,0.0008653317+0.0000000000j
-1.9730666667+0.0000000000j,0.9999646382+0.0000000000j,0.0000351094+0.0000000000j,0.0008672017+0.0000000000j,0.0008673258+0.0000000000j
-1.9728000000+0.0000000000j,0.9999642879+0.0000000000j,0.0000354574+0.0000000000j,0.0008691997+0.0000000000j,0.0008693242+0.0000000000j
-1.9725333333+0.0000000000j,0.9999639377+0.0000000000j,0.0000358055+0.0000000000j,0.0008712019+0.0000000000j,0.0008713269+0.0000000000j
-1.9722666667+0.0000000000j,0.9999635876+0.0000000000j,0.0000361537+0.0000000000j,0.0008732084+0.0000000000j,0.0008733338+0.0000000000j
-1.9720000000+0.0000000000j,0.9999632377+0.0000000000j,0.0000365021+0.0000000000j,0.0008752192+0.0000000000j,0.0008753450+0.0000000000j
-1.9717333333+0.0000000000j,0.9999628878+0.0000000000j,0.0000368506+0.0000000000j,0.0008772342+0.0000000000j,0.0008773605+0.0000000000j
-1.9714666667+0.0000000000j,0.9999625376+0.0000000000j,0.0000371991+0.0000000000j,0.0008792535+0.0000000000j,0.0008793803+0.0000000000j
-1.9712000000+0.0000000000j,0.9999621873+0.0000000000j,0.0000375475+0.0000000000j,0.0008812772+0.0000000000j,0.0008814044+0.0000000000j
-1.9709333333+0.0000000000j,0.9999618371+0.0000000000j,0.0000378959+0.0000000000j,0.0008833051+0.0000000000j,0.0008834328+0.0000000000j
-1.9706666667+0.0000000000j,0.9999614870+0.0000000000j,0.0000382441+0.0000000000j,0.0008853374+0.0000000000j,0.0008854655+0.0000000000j
-1.9704000000+0.0000000000j,0.9999611371+0.0000000000j,0.0000385922+0.0000000000j,0.0008873740+0.0000000000j,0.0008875025+0.0000000000j
-1.9701333333+0.0000000000j,0.9999607872+0.0000000000j,0.0000389400+0.0000000000j,0.0008894149+0.0000000000j,0.0008895439+0.0000000000j
-1.9698666667+0.0000000000j,0.9999604371+0.0000000000j,0.0000392876+0.0000000000j,0.0008914601+0.0000000000j,0.0008915896+0.0000000000j
-1.9696000000+0.0000000000j,0.9999600868+0.0000000000j,0.0000396350+0.0000000000j,0.0008935097+0.0000000000j,0.0008936397+0.0000000000j
-1.9693333333+0.0000000000j,0.9999597365+0.0000000000j,0.0000399822+0.0000000000j,0.0008955637+0.0000000000j,0.0008956941+0.0000000000j
-1.9690666667+0.0000000000j,0.9999593864+0.0000000000j,0.0000403292+0.0000000000j,0.0008976221+0.0000000000j,0.0008977529+0.0000000000j
-1.9688000000+0.0000000000j,0.9999590364+0.0000000000j,0.0000406761+0.0000000000j,0.0008996848+0.0000000000j,0.0008998161+0.0000000000j
-1.9685333333+0.0000000000j,0.9999586865+0.0000000000j,0.0000410229+0.0000000000j,0.0009017519+0.0000000000j,0.0009018837+0.0000000000j
-1.9682666667+0.0000000000j,0.9999583365+0.0000000000j,0.0000413696+0.0000000000j,0.0009038234+0.0000000000j,0.0009039556+0.0000000000j
-1.9680000000+0.0000000000j,0.9999579862+0.0000000000j,0.0000417164+0.0000000000j,0.0009058992+0.0000000000j,0.0009060320+0.0000000000j
-1.9677333333+0.0000000000j,0.9999576359+0.0000000000j,0.0000420632+0.0000000000j,0.0009079795+0.0000000000j,0.0009081128+0.0000000000j
-1.9674666667+0.0000000000j,0.9999572857+0.0000000000j,0.0000424101+0.0000000000j,0.0009100643+0.0000000000j,0.0009101979+0.0000000000j
-1.9672000000+0.0000000000j,0.9999569358+0.0000000000j,0.0000427571+0.0000000000j,0.0009121534+0.0000000000j,0.0009122876+0.0000000000j
-1.9669333333+0.0000000000j,0.9999565859+0.0000000000j,0.0000431044+0.0000000000j,0.0009142470+0.0000000000j,0.0009143816+0.0000000000j
-1.9666666667+0.0000000000j,0.9999562359+0.0000000000j,0.0000434519+0.0000000000j,0.0009163450+0.0000000000j,0.0009164801+0.0000000000j
-1.9664000000+0.0000000000j,0.9999558857+0.0000000000j,0.0000437996+0.0000000000j,0.0009184475+0.0000000000j,0.0009185831+0.0000000000j
-1.9661333333+0.0000000000j,0.9999555354+0.0000000000j,0.0000441475+0.0000000000j,0.0009205544+0.0000000000j,0.0009206905+0.0000000000j
-1.9658666667+0.0000000000j,0.9999551852+0.0000000000j,0.0000444956+0.0000000000j,0.0009226658+0.0000000000j,0.0009228023+0.0000000000j
-1.9656000000+0.0000000000j,0.9999548351+0.0000000000j,0.0000448439+0.0000000000j,0.0009247817+0.0000000000j,0.0009249187+0.0000000000j
-1.9653333333+0.0000000000j,0.9999544853+0.0000000000j,0.0000451923+0.0000000000j,0.0009269020+0.0000000000j,0.0009270396+0.0000000000j
-1.9650666667+0.0000000000j,0.9999541353+0.0000000000j,0.0000455408+0.0000000000j,0.0009290269+0.0000000000j,0.0009291649+0.0000000000j
-1.9648000000+0.0000000000j,0.9999537852+0.0000000000j,0.0000458893+0.0000000000j,0.0009311563+0.0000000000j,0.0009312948+0.0000000000j
-1.9645333333+0.0000000000j,0.9999534349+0.0000000000j,0.0000462378+0.0000000000j,0.0009332901+0.0000000000j,0.0009334291+0.0000000000j
-1.9642666667+0.0000000000j,0.9999530846+0.0000000000j,0.0000465861+0.0000000000j,0.0009354285+0.0000000000j,0.0009355680+0.0000000000j
-1.9640000000+0.0000000000j,0.9999527345+0.0000000000j,0.0000469344+0.0000000000j,0.0009375714+0.0000000000j,0.0009377114+0.0000000000j
-1.9637333333+0.0000000000j,0.9999523846+0.0000000000j,0.0000472824+0.0000000000j,0.0009397189+0.0000000000j,0.0009398594+0.0000000000j
-1.9634666667+0.0000000000j,0.9999520347+0.0000000000j,0.0000476302+0.0000000000j,0.0009418709+0.0000000000j,0.0009420119+0.0000000000j
-1.9632000000+0.0000000000j,0.9999516846+0.0000000000j,0.0000479779+0.0000000000j,0.0009440275+0.0000000000j,0.0009441689+0.0000000000j
-1.9629333333+0.0000000000j,0.9999513343+0.0000000000j,0.0000483253+0.0000000000j,0.0009461886+0.0000000000j,0.0009463306+0.0000000000j
-1.9626666667+0.0000000000j,0.9999509841+0.0000000000j,0.0000486724+0.0000000000j,0.0009483543+0.0000000000j,0.0009484968+0.0000000000j
-1.9624000000+0.0000000000j,0.9999506339+0.0000000000j,0.0000490194+0.0000000000j,0.0009505246+0.0000000000j,0.0009506676+0.0000000000j
-1.9621333333+0.0000000000j,0.9999502840+0.0000000000j,0.0000493663+0.0000000000j,0.0009526995+0.0000000000j,0.0009528429+0.0000000000j
-1.9618666667+0.0000000000j,0.9999499341+0.0000000000j,0.0000497131+0.0000000000j,0.0009548789+0.0000000000j,0.0009550229+0.0000000000j
-1.9616000000+0.0000000000j,0.9999495841+0.0000000000j,0.0000500598+0.0000000000j,0.0009570630+0.0000000000j,0.0009572075+0.0000000000j
-1.9613333333+0.0000000000j,0.9999492338+0.0000000000j,0.0000504065+0.0000000000j,0.0009592517+0.0000000000j,0.0009593967+0.0000000000j
-1.9610666667+0.0000000000j,0.9999488835+0.0000000000j,0.0000507533+0.0000000000j,0.0009614450+0.0000000000j,0.0009615905+0.0000000000j
-1.9608000000+0.0000000000j,0.9999485334+0.0000000000j,0.0000511002+0.0000000000j,0.0009636430+0.0000000000j,0.0009637890+0.0000000000j
-1.9605333333+0.0000000000j,0.9999481834+0.0000000000j,0.0000514472+0.0000000000j,0.0009658456+0.0000000000j,0.0009659921+0.0000000000j
-1.9602666667+0.0000000000j,0.9999478335+0.0000000000j,0.0000517945+0.0000000000j,0.0009680528+0.0000000000j,0.0009681999+0.0000000000j
-1.9600000000+0.0000000000j,0.9999474835+0.0000000000j,0.0000521420+0.0000000000j,0.0009702647+0.0000000000j,0.0009704123+0.0000000000j
-1.9597333333+0.0000000000j,0.9999471333+0.0000000000j,0.0000524897+0.0000000000j,0.0009724813+0.0000000000j,0.0009726294+0.0000000000j
-1.9594666667+0.0000000000j,0.9999467830+0.0000000000j,0.0000528376+0.0000000000j,0.0009747026+0.0000000000j,0.0009748512+0.0000000000j
-1.9592000000+0.0000000000j,0.9999464328+0.0000000000j,0.0000531857+0.0000000000j,0.0009769285+0.0000000000j,0.0009770777+0.0000000000j
-1.9589333333+0.0000000000j,0.9999460828+0.0000000000j,0.0000535340+0.0000000000j,0.0009791592+0.0000000000j,0.0009793088+0.0000000000j
-1.9586666667+0.0000000000j,0.9999457329+0.0000000000j,0.0000538824+0.0000000000j,0.0009813945+0.0000000000j,0.0009815447+0.0000000000j
-1.9584000000+0.0000000000j,0.9999453830+0.0000000000j,0.0000542309+0.0000000000j,0.0009836346+0.0000000000j,0.0009837853+0.0000000000j
-1.9581333333+0.0000000000j,0.9999450328+0.0000000000j,0.0000545794+0.0000000000j,0.0009858794+0.0000000000j,0.0009860306+0.0000000000j
-1.9578666667+0.0000000000j,0.9999446825+0.0000000000j,0.0000549279+0.0000000000j,0.0009881289+0.0000000000j,0.0009882807+0.0000000000j
-1.9576000000+0.0000000000j,0.9999443323+0.0000000000j,0.0000552763+0.0000000000j,0.0009903831+0.0000000000j,0.0009905355+0.0000000000j
-1.9573333333+0.0000000000j,0.9999439822+0.0000000000j,0.0000556245+0.0000000000j,0.0009926422+0.0000000000j,0.0009927950+0.0000000000j
-1.9570666667+0.0000000000j,0.9999436323+0.0000000000j,0.0000559725+0.0000000000j,0.0009949059+0.0000000000j,0.0009950593+0.0000000000j
-1.9568000000+0.0000000000j,0.9999432824+0.0000000000j,0.0000563204+0.0000000000j,0.0009971745+0.0000000000j,0.0009973284+0.0000000000j
-1.9565333333+0.0000000000j,0.9999429323+0.0000000000j,0.0000566680+0.0000000000j,0.0009994478+0.0000000000j,0.0009996023+0.0000000000j
-1.9562666667+0.0000000000j,0.9999425821+0.0000000000j,0.0000570154+0.0000000000j,0.0010017259+0.0000000000j,0.0010018809+0.0000000000j
-1.9560000000+0.0000000000j,0.9999422318+0.0000000000j,0.0000573626+0.0000000000j,0.0010040088+0.0000000000j,0.0010041644+0.0000000000j
-1.9557333333+0.0000000000j,0.9999418817+0.0000000000j,0.0000577095+0.0000000000j,0.0010062965+0.0000000000j,0.0010064526+0.0000000000j
-1.9554666667+0.0000000000j,0.9999415317+0.0000000000j,0.0000580564+0.0000000000j,0.0010085890+0.0000000000j,0.0010087457+0.0000000000j
-1.9552000000+0.0000000000j,0.9999411819+0.0000000000j,0.0000584031+0.0000000000j,0.0010108864+0.0000000000j,0.0010110436+0.0000000000j
-1.9549333333+0.0000000000j,0.9999408318+0.0000000000j,0.0000587498+0.0000000000j,0.0010131885+0.0000000000j,0.0010133463+0.0000000000j
-1.9546666667+0.0000000000j,0.9999404816+0.0000000000j,0.0000590965+0.0000000000j,0.0010154956+0.0000000000j,0.0010156539+0.0000000000j
-1.9544000000+0.0000000000j,0.9999401313+0.0000000000j,0.0000594433+0.0000000000j,0.0010178074+0.0000000000j,0.0010179663+0.0000000000j
-1.9541333333+0.0000000000j,0.9999397811+0.0000000000j,0.0000597902+0.0000000000j,0.0010201242+0.0000000000j,0.0010202836+0.0000000000j
-1.9538666667+0.0000000000j,0.9999394312+0.0000000000j,0.0000601372+0.0000000000j,0.0010224458+0.0000000000j,0.0010226058+0.0000000000j
-1.9536000000+0.0000000000j,0.9999390813+0.0000000000j,0.0000604845+0.0000000000j,0.0010247722+0.0000000000j,0.0010249328+0.0000000000j
-1.9533333333+0.0000000000j,0.9999387313+0.0000000000j,0.0000608320+0.0000000000j,0.0010271036+0.0000000000j,0.0010272648+0.0000000000j
-1.9530666667+0.0000000000j,0.9999383811+0.0000000000j,0.0000611797+0.0000000000j,0.0010294399+0.0000000000j,0.0010296016+0.0000000000j
-1.9528000000+0.0000000000j,0.9999380308+0.0000000000j,0.0000615276+0.0000000000j,0.0010317810+0.0000000000j,0.0010319433+0.0000000000j
-1.9525333333+0.0000000000j,0.9999376806+0.0000000000j,0.0000618757+0.0000000000j,0.0010341271+0.0000000000j,0.0010342900+0.0000000000j
-1.9522666667+0.0000000000j,0.9999373306+0.0000000000j,0.0000622240+0.0000000000j,0.0010364781+0.0000000000j,0.0010366416+0.0000000000j
-1.9520000000+0.0000000000j,0.9999369807+0.0000000000j,0.0000625724+0.0000000000j,0.0010388341+0.0000000000j,0.0010389981+0.0000000000j
-1.9517333333+0.0000000000j,0.9999366308+0.0000000000j,0.0000629209+0.0000000000j,0.0010411950+0.0000000000j,0.0010413595+0.0000000000j
