# Generated by QuTiP: 15001x5 complex matrix in decimal format [',' separated values].
-1.9848000000+0.0000000000j,0.4948538170+0.0000000000j,0.4907856149+0.0000000000j,0.0007833855+0.0000000000j,0.0007834917+0.0000000000j
-1.9845333333+0.0000000000j,0.4948534773+0.0000000000j,0.4907852832+0.0000000000j,0.0007852040+0.0000000000j,0.0007853105+0.0000000000j
-1.9842666667+0.0000000000j,0.4948531378+0.0000000000j,0.4907849506+0.0000000000j,0.0007870264+0.0000000000j,0.0007871333+0.0000000000j
-1.9840000000+0.0000000000j,0.4948527990+0.0000000000j,0.4907846180+0.0000000000j,0.0007888528+0.0000000000j,0.0007889600+0.0000000000j
-1.9837333333+0.0000000000j,0.4948524601+0.0000000000j,0.4907842863+0.0000000000j,0.0007906830+0.0000000000j,0.0007907907+0.0000000000j
-1.9834666667+0.0000000000j,0.4948521203+0.0000000000j,0.4907839555+0.0000000000j,0.0007925172+0.0000000000j,0.0007926253+0.0000000000j
-1.9832000000+0.0000000000j,0.4948517801+0.0000000000j,0.4907836249+0.0000000000j,0.0007943553+0.0000000000j,0.0007944638+0.0000000000j
-1.9829333333+0.0000000000j,0.4948514404+0.0000000000j,0.4907832935+0.0000000000j,0.0007961974+0.0000000000j,0.0007963062+0.0000000000j
-1.9826666667+0.0000000000j,0.4948511008+0.0000000000j,0.4907829611+0.0000000000j,0.0007980434+0.0000000000j,0.0007981527+0.0000000000j
-1.9824000000+0.0000000000j,0.4948507619+0.0000000000j,0.4907826283+0.0000000000j,0.0007998934+0.0000000000j,0.0008000030+0.0000000000j
-1.9821333333+0.0000000000j,0.4948504232+0.0000000000j,0.4907822964+0.0000000000j,0.0008017474+0.0000000000j,0.0008018574+0.0000000000j
-1.9818666667+0.0000000000j,0.4948500835+0.0000000000j,0.4907819654+0.0000000000j,0.0008036054+0.0000000000j,0.0008037157+0.0000000000j
-1.9816000000+0.0000000000j,0.4948497433+0.0000000000j,0.4907816348+0.0000000000j,0.0008054673+0.0000000000j,0.0008055781+0.0000000000j
-1.9813333333+0.0000000000j,0.4948494036+0.0000000000j,0.4907813038+0.0000000000j,0.0008073332+0.0000000000j,0.0008074444+0.0000000000j
-1.9810666667+0.0000000000j,0.4948490640+0.0000000000j,0.4907809717+0.0000000000j,0.0008092032+0.0000000000j,0.0008093147+0.0000000000j
